ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,3,72448,27075,27,ACTIVO,HAKUNA MATATA HOSTAL CHOCO,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,4,8,0
2024,2,72478,27495,27,ACTIVO,SAFIO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),3,8,1
2024,2,72480,27361,27,ACTIVO,CENTRO RECREACIONAL LA MECA,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,CENTRO VACACIONAL,18,26,1
2024,3,72486,27006,27,ACTIVO,VASQUEZ MEJIA MARIA CECILIA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,6,18,1
2024,3,72734,27075,27,ACTIVO,HOTEL COSTA CHOCO,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,26,46,12
2024,1,73447,27001,27,ACTIVO,TOUR DE RIOS,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,0
2024,3,73466,27006,27,ACTIVO,HOTEL MADONA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,7,12,0
2024,3,73601,27006,27,ACTIVO,A&A ECOTURISMO S.A.S.,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,18,2
2024,1,74665,27001,27,ACTIVO,OPERADORA DE TURISMO Y VARIEDADES SMUCAST,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,0
2024,1,75329,27006,27,ACTIVO,DESTINO CAPURGANA,CHOCO,ACANDI,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,0
2024,3,76445,27495,27,ACTIVO,EL VIJO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),10,10,0
2024,3,76446,27495,27,ACTIVO,DIAZ RUIS ERIS,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,15,0
2024,1,76450,27495,27,ACTIVO,LA POSADA DE ANGELA,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,1,0
2024,3,76921,27006,27,ACTIVO,MARLYNGS AZUL,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,15,44,0
2024,4,76927,27495,27,ACTIVO,POSADAS ECOTURISTICAS CHACHITA SAS,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,7,15,1
2024,1,77131,27006,27,ACTIVO,HOSTAL MARAZUL CAPURGANÁ,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,6,12,0
2024,3,77443,27075,27,ACTIVO,DORIS ELENA CARO MONTOYA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,7,17,0
2024,2,78903,27006,27,ACTIVO,CABAÑA KOSTA AZUL CAPURGANA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,6,10,1
2024,3,78904,27006,27,ACTIVO,LA KASA CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,4,8,0
2024,1,78906,27495,27,ACTIVO,CASA KAKIRI,CHOCO,NUQUI,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,0
2024,3,78915,27495,27,ACTIVO,IRI MAR TERMALES,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,5,0
2024,3,78920,27495,27,ACTIVO,POSADA MILAGRO DE DIOS,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,5,0
2024,1,79150,27495,27,ACTIVO,CHALALANGA SURF,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,2,0
2024,2,79598,27006,27,ACTIVO,JAIME ELIECER HENAO ARIAS,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,CASA TURÍSTICA,1,14,0
2024,2,81331,27001,27,ACTIVO,GALÚ HOTEL,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,32,45,14
2024,3,81494,27495,27,ACTIVO,GIRALDO ALZATE MAURICIO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,18,0
2024,3,81905,27006,27,ACTIVO,HOSTAL ZURYMAR,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,11,22,2
2024,1,81908,27001,27,ACTIVO,HOTEL VILLA REAL DE QUIBDO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,20,0
2024,1,82349,27075,27,ACTIVO,HOTEL BAHIA SOLANO JD,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,15,21,0
2024,1,82398,27001,27,ACTIVO,HOTEL PUNTO APARTE DE QUIBDO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,15,15,2
2024,3,82402,27006,27,ACTIVO,ACUALI ECOHOSTAL,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,4,19,2
2024,4,82485,27075,27,ACTIVO,ANKLA AZUL,CHOCO,BAHIA SOLANO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,1
2024,3,82613,27006,27,ACTIVO,HOSPEDAJE MAJAIDY,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,10,18,0
2024,3,82716,27006,27,ACTIVO,CABAÑA DARIUS,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),4,4,0
2024,3,83258,27495,27,ACTIVO,CABAÑA VILLA SOFI  NUQUI,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,15,1
2024,3,83758,27075,27,ACTIVO,ALVAREZ USUGA LUISA FERNANDA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),3,9,1
2024,3,84120,27006,27,ACTIVO,HOSPEDAJE CASA LA MARIELA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,11,33,1
2024,3,84124,27495,27,ACTIVO,OSCAR  HURTADO FRANCO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,6,0
2024,3,84125,27495,27,ACTIVO,POSADA ARCOIRIS,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,2,10,0
2024,3,84549,27006,27,ACTIVO,CASA NATURAL BOHEMIA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,5,12,1
2024,3,84550,27006,27,ACTIVO,MARTHA KOSCETH MENDOZA CASTRO,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,5,8,0
2024,1,85772,27006,27,ACTIVO,DIVEANDGREEN CENTRO DE BUCEO,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,4,8,2
2024,3,86154,27006,27,ACTIVO,HOTEL SAN BLAS CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,7,14,1
2024,4,86157,27006,27,ACTIVO,DOBLE VISTA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,9,36,1
2024,2,86910,27006,27,ACTIVO,NANCY MARIA SALAZAR DE CORREA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,5,18,0
2024,3,86915,27006,27,ACTIVO,HOSTAL J.L,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,6,16,0
2024,1,86918,27006,27,ACTIVO,CABAÑA SAMANTHA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),10,20,0
2024,1,87133,27006,27,ACTIVO,MOSQUERA MORENO MOISES,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,18,3
2024,3,87134,27075,27,ACTIVO,HOTEL PACIFICO AZUL,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,14,16,2
2024,3,87395,27006,27,ACTIVO,HOTEL LOS KUNAS DEL DARIEN,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,9,25,0
2024,3,88267,27006,27,ACTIVO,HOSPEDAJE ZINGARA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),2,5,0
2024,3,88498,27006,27,ACTIVO,ECOCABAÑA ROSA MARIA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,1,15,1
2024,1,90903,27001,27,ACTIVO,AGENCIA DE OPERACIONES TURISTICAS Y CULTURALES DEL CHOCO DASHI ENJUA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,3
2024,3,91544,27001,27,ACTIVO,HOTEL TEMATICO ETNIAS,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,12,12,3
2024,4,92193,27006,27,ACTIVO,CABAÑA VILLA MARIA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),9,18,1
2024,1,93025,27495,27,ACTIVO,POSADA NATIVA LA BAYKA ALOJAMIENTO RURAL EN NUQUI,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,18,2
